book_id,title,authors,genres,description,average_rating,tags
BK0001,The In Ancient,James Garcia & Elena Rodriguez,"Horror, Science Fiction, Literary Fiction","A compelling story about morality set in magical realm, exploring themes of destiny and love.",4.1,"historical, dark, magical, romantic"
BK0002,Beyond of the Forgotten,William Gonzalez,"Crime, Historical Fiction, Horror","In this Crime masterpiece, readers follow the journey of brilliant detective as they navigate forbidden love.",3.8,"page-turner, dark, thought-provoking, emotional"
BK0003,After Lost Storm,Thomas Williams,"Historical Fiction, Adventure","Set against the backdrop of war-torn Europe, this Adventure novel delves into friendship while examining loss.",4.0,"suspenseful, world-building, character-driven, dramatic"
BK0004,The of the Forgotten,John Taylor,Thriller,"In this Thriller masterpiece, readers follow the journey of brilliant detective as they navigate ancient prophecy.",3.1,"dramatic, page-turner, fast-paced, dark"
BK0005,The A Sacred,Sofia Williams & Thomas Davis,Psychological Fiction,"A compelling story about identity set in rural America, exploring themes of family bonds and corruption.",3.9,"epic, dramatic, plot-twists, suspenseful"
BK0006,The The Hidden,Isabella Williams,"Literary Fiction, Contemporary Fiction","A compelling story about hope set in 1920s Paris, exploring themes of corruption and power.",3.8,"funny, action-packed, character-driven, realistic"
BK0007,Through Hidden Gate,Isabella Rodriguez,"Literary Fiction, Science Fiction, Dystopian","A compelling story about survival set in distant galaxy, exploring themes of morality and freedom.",5.0,"romantic, political, mystery, historical, emotional"
BK0008,Beyond Sacred of Path,Isabella Lopez,"Dystopian, Historical Fiction, Thriller","A tragic tale that combines memory with friendship, set in a world of magical realm.",3.3,"emotional, inspiring, magical, fast-paced, atmospheric"
BK0009,The The Bright,Isabella Brown & William Williams,"Mystery, Classic","A suspenseful tale that combines redemption with hope, set in a world of post-apocalyptic Earth.",3.7,"mystery, suspenseful, action-packed, emotional, romantic"
BK0010,In Hidden of Light,Sarah Wilson,"Historical Fiction, Young Adult","A compelling story about destiny set in magical realm, exploring themes of morality and justice.",3.5,"mystery, realistic, romantic, dramatic, world-building"
BK0011,A of the Dark,Joseph Lopez,"Dystopian, Philosophical Fiction, Crime","This Crime work follows brilliant detective through psychological trauma, revealing deep insights about identity.",3.9,"mystery, epic, complex"
BK0012,Through Broken Gate,Richard Wilson & Richard Brown,Philosophical Fiction,"A compelling story about memory set in war-torn Europe, exploring themes of memory and betrayal.",3.2,"action-packed, emotional, page-turner, magical, plot-twists"
BK0013,After Lost of Heart,Charles Gonzalez,"Dystopian, Psychological Fiction, Young Adult","Set against the backdrop of colonial America, this Young Adult novel delves into survival while examining redemption.",4.5,"emotional, mystery, inspiring, atmospheric, political"
BK0014,The Under Silent,James Hernandez & Richard Wilson,"Horror, Literary Fiction, Dystopian","A compelling story about friendship set in cyberpunk metropolis, exploring themes of family bonds and family bonds.",4.7,"page-turner, romantic, mystery"
BK0015,After of the Hidden,David Gonzalez,Contemporary Fiction,"A humorous tale that combines power with redemption, set in a world of medieval Europe.",3.9,"magical, atmospheric, character-driven, romantic, realistic"
BK0016,Through Sacred Journey,David Miller & Michael Brown,"Crime, Young Adult","This Crime work follows complex antihero through global conspiracy, revealing deep insights about truth.",4.3,"historical, complex, action-packed, dark"
BK0017,The Under Hidden,Thomas Lopez & Isabella Rodriguez,Psychological Fiction,"Set against the backdrop of post-apocalyptic Earth, this Psychological Fiction novel delves into power while examining friendship.",4.1,"historical, philosophical, epic, plot-twists"
BK0018,The Lost of Voice,Michael Garcia,"Romance, Fantasy, Young Adult","A humorous tale that combines friendship with redemption, set in a world of contemporary Tokyo.",3.4,"page-turner, dramatic, political, atmospheric"
BK0019,Under Hidden of Song,Elena Lopez & Laura Rodriguez,"Psychological Fiction, Science Fiction","In this Psychological Fiction masterpiece, readers follow the journey of seasoned warrior as they navigate moral dilemmas.",4.1,"political, realistic, historical, action-packed"
BK0020,Under Dark Light,Elizabeth Garcia & John Rodriguez,Contemporary Fiction,"In this Contemporary Fiction masterpiece, readers follow the journey of young prodigy as they navigate family secrets.",3.5,"fast-paced, atmospheric, funny, dramatic"
